STARTUP NAME,Status,DistributorAddress,DistributorAddress2,Single Layer,Double Layer
BlockBank,DistributorsHardtoIdentify,,,0.0,0.0
BlockBits,NoTokenTransfer,,,0.0,0.0
BlockFood,NoMatch,,,0.0,0.0
BlockGrain,NoMatch,,,0.0,0.0
BlockLicense,NoTokenTransfer,,,0.0,0.0
BlockMesh,,,,0.0,0.0
Blockchain Taxi,NoTokenTransfer,,,0.0,0.0
Blockchain Technology Research Innovations Corporation,NoMatch,,,0.0,0.0
Blockchain Terminal,NoMatch,,,0.0,0.0
Blockchain Traded Fund,OK,0x0000000000000000000000000000000000000000,,0.0,0.0
Blockchain Ventureon,transfer after ending,,,0.0,0.0
Blockchain.io,transfer after ending,,,0.0,0.0
Blockhipo,OnlyPreICOTransactions,,,0.0,0.0
Blockkonnect,NoTokenTransfer,,,0.0,0.0
Blockonomics,NoTokenTransfer,,,0.0,0.0
Blockpass,DistributorsHardtoIdentify,,,0.0,0.0
Blockport,OK,0x0000000000000000000000000000000000000000,,0.0,0.0
Blockscart,NonERC20,,,0.0,0.0
Blockshipping GSCP,OK,0xda92301810727d563bef3c853377371208fc972c,,0.0,0.0
Blockwei,NoTokenTransfer,,,0.0,0.0
Blok,OK,0x0000000000000000000000000000000000000000,,0.0,0.0
BlokCoin,NoTokenTransfer,,,0.0,0.0
Blue One (PreICO),NoMatch,,,0.0,0.0
Blue Whale,AlreadyinPreviousFile,,,0.0,0.0
BlueOcean,,,,0.0,0.0
Blupass ICO,NoTokenTransfer,,,0.0,0.0
BmyBit,NonERC20,,,0.0,0.0
BoatPilot,NoTokenTransfer,0xd9f82f63b1d400595aec7277820ff71c44b65ad0,,0.0,0.0
Bob's Repair,OK,0x0000000000000000000000000000000000000000,,0.0,0.0
Bodhi,NonERC20,,,0.0,0.0
Boliecoin,NonERC20,,,0.0,0.0
Bolt,OK,0x0000000000000000000000000000000000000000,,0.0,0.0
Bolton Coin,NoMatch,,,0.0,0.0
Bond Film Platform,NoTokenTransfer,,,0.0,0.0
Boomstarter.Network,OK,"0x270f88b0481f24d8638adf3019364fa9257f2ee3,0xff37cb3d46dd20a40dbd5e77c7037eab0d62a542",,0.0,0.0
Boons,,,,0.0,0.0
Borneo,NonERC20,,,0.0,0.0
BotGaming,NoTokenTransfer,,,0.0,0.0
Bountie,transfer after ending,,,0.0,0.0
Bounty Hunter,transfer after ending,,,0.0,0.0
Box Of Data,NoMatch,,,0.0,0.0
Box2Table,NoMatch,,,0.0,0.0
Bpay,NoTokenTransfer,,,0.0,0.0
BrainerZ,NoMatch,,,0.0,0.0
Breeze Coin,DistributorsHardtoIdentify,,,0.0,0.0
Brick,NoMatch,,,0.0,0.0
Bronix,NoTokenTransfer,,,0.0,0.0
Brotherly,NoTokenTransfer,,,0.0,0.0
Browsers Lab,DistributorsHardtoIdentify,,,0.0,0.0
BrumH,NonERC20,,,0.0,0.0
Bryllite,DistributorsHardtoIdentify,,,0.0,0.0
Bubbletone,NonERC20,,,0.0,0.0
Bucky,OK,0x965a2a21c60252c09e5e2872b8d3088424c4f58a,,1.0,11.0
BuddToken,NoTokenTransfer,,,0.0,0.0
Bulleon,,,,0.0,0.0
Bumo,NoTokenTransfer,,,0.0,0.0
BunnyToken,OK,0xf9e5041a578d48331c54ba3c494e7bcbc70a30ca,,1.0,3859.0
BuratinoBS,NoMatch,,,0.0,0.0
Burn Coin,ICODateSeemsWrong,,,0.0,0.0
Byeshares,NoTokenTransfer,,,0.0,0.0
ByteBet (PreICO),AlreadyinPreviousFile,,,0.0,0.0
Bytemine,transfer after ending,,,0.0,0.0
C3C.Network (PreICO),OK,0xdfdc52e5c08840aa061f605e6fb9d97deaec05ea,,25.0,30243.0
CAR Token,NoTokenTransfer,,,0.0,0.0
CAREONchain (PreICO),NonERC20,,,0.0,0.0
CBNT,OK,0x0000000000000000000000000000000000000000,,0.0,0.0
CCINT,NoTokenTransfer,,,0.0,0.0
CDRX,transfer after ending,,,0.0,0.0
CEEK,transfer after ending,,,0.0,0.0
CGCX,transfer after ending,,,0.0,0.0
CHERR.IO,CancelledICO,,,0.0,0.0
CI Chain,NoTokenTransfer,,,0.0,0.0
CINDX,OK,0xcd1240eac73e7af567c643617041b0ec8428cd29,,0.0,0.0
CMBT,transfer after ending,,,0.0,0.0
CMC,OK,0x9bab91e00106df26a2e35b82738e2d76735c2f76,,2.0,208.0
COINANX,transfer after ending,,,0.0,0.0
COINDAQ,NoTokenTransfer,,,0.0,0.0
COMMITGOOD,OK,0x0000000000000000000000000000000000000000,,0.0,0.0
CORP,,,,0.0,0.0
CPOLLO,ICODateSeemsWrong,,,0.0,0.0
CPROP,DistributorsHardtoIdentify,,,0.0,0.0
CUBE,NonERC20,,,0.0,0.0
CVProof,NoMatch,,,0.0,0.0
CVerification,NoTokenTransfer,,,0.0,0.0
CYBR,,,,0.0,0.0
CZero,NoTokenTransfer,,,0.0,0.0
Cache,NonERC20,,,0.0,0.0
Caerus Connections,OK,0x420bc15f00ebab1160bf666e9d8f62a34bbcec1e,,1.0,1.0
CafeCoin,transfer after ending,,,0.0,0.0
Callback Plus,NoMatch,,,0.0,0.0
CamOnRoad,NoMatch,,,0.0,0.0
CamX,NonERC20,,,0.0,0.0
CannAvenue,NoTokenTransfer,,,0.0,0.0
Capital (PreICO),NoMatch,,,0.0,0.0
Capverto,,,,0.0,0.0
CarSmartt,,,,0.0,0.0
CarVDB,OK,0x8fd66e4533ea0f06bf2e30af7a5710428e508eda,,0.0,0.0
Carbon Grid Protocol,,,,0.0,0.0
Cardium,OK,0xf482b137399c00bb534f0da6826eed27ee54b15e,,0.0,0.0
Cardonio,,,,0.0,0.0
Cardstack,transfer after ending,,,0.0,0.0
CareParrot,NoMatch,,,0.0,0.0
CariOS,NoTokenTransfer,,,0.0,0.0
Carry,NoMatch,,,0.0,0.0
Cartel,OK,0x0000000000000000000000000000000000000000,,0.0,0.0
Cartographeum,OK,0xeb6bddcc8c14938bc7fd9403a842c28dce43745c,,0.0,0.0
CashBag,OK,0xbbc4261fa8d253ba1861e6d87946a50487a3b8c8,,0.0,0.0
CashBet,,,,0.0,0.0
Caspian,OK,0xd0b6caf67e3cc44ea888b12acfc807fd258ffb8d,,0.0,0.0
Cazaar,NoMatch,,,0.0,0.0
Ccecoin,DistributorsHardtoIdentify,,,0.0,0.0
Cedium,NoMatch,,,0.0,0.0
Celes Chain (PreICO),NoTokenTransfer,,,0.0,0.0
Celestial Coin,NoTokenTransfer,,,0.0,0.0
CellBlocks,OK,0x3fbf9b60242eb702870a1d462d8818b3a5e521d9,,0.0,0.0
Centive,NoTokenTransfer,,,0.0,0.0
Centrality,transfer after ending,,,0.0,0.0
Certore,transfer after ending,,,0.0,0.0
Cewnote,NoTokenTransfer,,,0.0,0.0
Chain Works (PreICO),NoMatch,,,0.0,0.0
ChainRepublik,NonERC20,,,0.0,0.0
Checqit,NoTokenTransfer,,,0.0,0.0
Chimaera,NonERC20,,,0.0,0.0
Choice,NoMatch,,,0.0,0.0
Chrypto,,,,0.0,0.0
Chubex,OK,0x0000000000000000000000000000000000000000,,0.0,0.0
Chynge.net,NonERC20,,,0.0,0.0
Circleflowstoken,NoMatch,,,0.0,0.0
CitiCash,NonERC20,,,0.0,0.0
Citicoin,NonERC20,,,0.0,0.0
Citizen Health,NoMatch,,,0.0,0.0
Clairety Inc.,NoMatch,,,0.0,0.0
ClassyCoin,DistributorsHardtoIdentify,,,0.0,0.0
Clear Cost,NoTokenTransfer,,,0.0,0.0
ClickableTV,NoTokenTransfer,,,0.0,0.0
Clinicoin,transfer after ending,,,0.0,0.0
Cloe,NoMatch,,,0.0,0.0
CloudMoolah,NoMatch,,,0.0,0.0
Cloudbric,OK,0x17fd576d36d73a20aed104c8a3ee642de1f888a4,,13.0,507.0
Coal Coin (PreICO),NoTokenTransfer,,,0.0,0.0
Coal Industry Coin,NoMatch,,,0.0,0.0
Cobol Network,NoMatch,,,0.0,0.0
Coconuts,NoMatch,,,0.0,0.0
Code of Talent,NoTokenTransfer,,,0.0,0.0
Codex,transfer after ending,,,0.0,0.0
Coffe,,,,0.0,0.0
Coin Mine Australia,NoTokenTransfer,,,0.0,0.0
CoinCase,NoMatch,,,0.0,0.0
CoinCasso,,,,0.0,0.0
CoinCrowd,AlreadyinPreviousFile,,,0.0,0.0
CoinHealth,NonERC20,,,0.0,0.0
CoinJanitor,OK,0x0000000000000000000000000000000000000000,,0.0,0.0
CoinMarketAlert,DistributorsHardtoIdentify,,,0.0,0.0
CoinMetro,NoMatch,,,0.0,0.0
CoinOil,ICODateSeemsWrong,,,0.0,0.0
CoinPlace,transfer after ending,,,0.0,0.0
CoinSeason,NoMatch,,,0.0,0.0
CoinStruction,NoTokenTransfer,,,0.0,0.0
CoinTour,DistributorsHardtoIdentify,,,0.0,0.0
Coinet,NonERC20,,,0.0,0.0
Coinnup,OK,0x2b2063d4a9a1a270326b8953c977f4c358952b73,,0.0,0.0
Coinolix,OK,0x0000000000000000000000000000000000000000,,0.0,0.0
Coinquiztador,NoMatch,,,0.0,0.0
Coinseed,transfer after ending,,,0.0,0.0
Coinshare,NoMatch,,,0.0,0.0
Coinstocks,OK,0x52618d7d5330f354a2d3b45cca1896ba26e363c7,,0.0,0.0
Coinvest,OK,0xb743aed805aad342672131e575a2d6871511898a,,0.0,0.0
Coinyspace,transfer after ending,,,0.0,0.0
Color,NoTokenTransfer,,,0.0,0.0
CompositeCoin,NoTokenTransfer,,,0.0,0.0
Conn3x,NonERC20,,,0.0,0.0
ConnectJob,AlreadyinPreviousFile,,,0.0,0.0
Consentium,Complicated,,,0.0,0.0
Contentos,OK,0xf33fe08604b009f55a7b898ee9b8d19688b0ac25,,0.0,0.0
Contents Protocol,transfer after ending,,,0.0,0.0
Conterium,NoMatch,,,0.0,0.0
ContractLand,NoTokenTransfer,,,0.0,0.0
ContractVault,OK,,,0.0,0.0
Contractium.io,transfer after ending,,,0.0,0.0
Contrib,OK,0xc644926f9669b3acb4f22f8271e6bf2b1bd33873,,0.0,0.0
Conventment,NonERC20,,,0.0,0.0
CookUp,NoTokenTransfer,,,0.0,0.0
Cool Cousin,OK,0x0000000000000000000000000000000000000000,,0.0,0.0
CoooCoin,NoMatch,,,0.0,0.0
Cooperative Exchange,transfer after ending,,,0.0,0.0
Coralex,NoTokenTransfer,,,0.0,0.0
Cosmecoin,NoTokenTransfer,,,0.0,0.0
Cosmochain,OK,0x0000000000000000000000000000000000000000,,0.0,0.0
Countinghouse Fund,OK,0x0000000000000000000000000000000000000000,,0.0,0.0
Coupon Chain,OK,0x0000000000000000000000000000000000000000,,0.0,0.0
CraftR,DistributorsHardtoIdentify,,,0.0,0.0
Crazy Shapes,NonERC20,,,0.0,0.0
Creatanium,transfer after ending,,,0.0,0.0
